எண்,பால்,இயல்,அதிகாரம்,குறள்
718,2. பொருட்பால்,2.2. அங்கவியல்,2.2.9 அவையறிதல்,"உணர்வ துடையார்முன் சொல்லல் வளர்வதன்
பாத்தியுள் நீர்சொரிந் தற்று."
719,2. பொருட்பால்,2.2. அங்கவியல்,2.2.9 அவையறிதல்,"புல்லவையுள் பொச்சாந்தும் சொல்லற்க நல்லவையுள்
நன்குசலச் சொல்லு வார்."
720,2. பொருட்பால்,2.2. அங்கவியல்,2.2.9 அவையறிதல்,"அங்கணத்துள் உக்க அமிழ்தற்றால் தங்கணத்தார்
அல்லார்முன் கோட்டி கொளல்."
721,2. பொருட்பால்,2.2. அங்கவியல்,2.2.10 அவையஞ்சாமை,"வகையறிந்து வல்லவை வாய்சோரார் சொல்லின்
தொகையறிந்த தூய்மை யவர்."
722,2. பொருட்பால்,2.2. அங்கவியல்,2.2.10 அவையஞ்சாமை,"கற்றாருள் கற்றார் எனப்படுவர் கற்றார்முன்
கற்ற செலச்சொல்லு வார்."
723,2. பொருட்பால்,2.2. அங்கவியல்,2.2.10 அவையஞ்சாமை,"பகையகத்துச் சாவார் எளியர் அரியர்
அவையகத்து அஞ்சா தவர்."
724,2. பொருட்பால்,2.2. அங்கவியல்,2.2.10 அவையஞ்சாமை,"கற்றார்முன் கற்ற செலச்சொல்லித் தாம்கற்ற
மிக்காருள் மிக்க கொளல்."
725,2. பொருட்பால்,2.2. அங்கவியல்,2.2.10 அவையஞ்சாமை,"ஆற்றின் அளவறிந்து கற்க அவையஞ்சா
மாற்றங் கொடுத்தற் பொருட்டு."
726,2. பொருட்பால்,2.2. அங்கவியல்,2.2.10 அவையஞ்சாமை,"வாளொடென் வன்கண்ணர் அல்லார்க்கு நூலொடென்
நுண்ணவை அஞ்சு பவர்க்கு."
727,2. பொருட்பால்,2.2. அங்கவியல்,2.2.10 அவையஞ்சாமை,"பகையகத்துப் பேடிகை ஒள்வாள் அவையகத்து
அஞ்சு மவன்கற்ற நூல்."
728,2. பொருட்பால்,2.2. அங்கவியல்,2.2.10 அவையஞ்சாமை,"பல்லவை கற்றும் பயமிலரே நல்லவையுள்
நன்கு செலச்சொல்லா தார்."
729,2. பொருட்பால்,2.2. அங்கவியல்,2.2.10 அவையஞ்சாமை,"கல்லா தவரின் கடையென்ப கற்றறிந்தும்
நல்லா ரவையஞ்சு வார்."
730,2. பொருட்பால்,2.2. அங்கவியல்,2.2.10 அவையஞ்சாமை,"உளரெனினும் இல்லாரொடு ஒப்பர் களன்அஞ்சிக்
கற்ற செலச்சொல்லா தார்."
731,2. பொருட்பால்,2.3 அங்கவியல்,2.3.1 நாடு,"தள்ளா விளையுளும் தக்காரும் தாழ்விலாச்
செல்வரும் சேர்வது நாடு."
732,2. பொருட்பால்,2.3 அங்கவியல்,2.3.1 நாடு,"பெரும்பொருளால் பெட்டக்க தாகி அருங்கேட்டால்
ஆற்ற விளைவது நாடு."
733,2. பொருட்பால்,2.3 அங்கவியல்,2.3.1 நாடு,"பொறையொருங்கு மேல்வருங்கால் தாங்கி இறைவற்கு
இறையொருங்கு நேர்வது நாடு."
734,2. பொருட்பால்,2.3 அங்கவியல்,2.3.1 நாடு,"உறுபசியும் ஓவாப் பிணியும் செறுபகையும்
சேரா தியல்வது நாடு."
735,2. பொருட்பால்,2.3 அங்கவியல்,2.3.1 நாடு,"பல்குழுவும் பாழ்செய்யும் உட்பகையும் வேந்தலைக்கும்
கொல்குறும்பும் இல்லது நாடு."
736,2. பொருட்பால்,2.3 அங்கவியல்,2.3.1 நாடு,"கேடறியாக் கெட்ட இடத்தும் வளங்குன்றா
நாடென்ப நாட்டின் தலை."
737,2. பொருட்பால்,2.3 அங்கவியல்,2.3.1 நாடு,"இருபுனலும் வாய்ந்த மலையும் வருபுனலும்
வல்லரணும் நாட்டிற்கு உறுப்பு."
738,2. பொருட்பால்,2.3 அங்கவியல்,2.3.1 நாடு,"பிணியின்மை செல்வம் விளைவின்பம் ஏமம்
அணியென்ப நாட்டிவ் வைந்து."
739,2. பொருட்பால்,2.3 அங்கவியல்,2.3.1 நாடு,"நாடென்ப நாடா வளத்தன நாடல்ல
நாட வளந்தரு நாடு."
740,2. பொருட்பால்,2.3 அங்கவியல்,2.3.1 நாடு,"ஆங்கமை வெய்தியக் கண்ணும் பயமின்றே
வேந்தமை வில்லாத நாடு."
741,2. பொருட்பால்,2.3 அங்கவியல்,2.3.2 அரண்,"ஆற்று பவர்க்கும் அரண்பொருள் அஞ்சித்தற்
போற்று பவர்க்கும் பொருள்."
742,2. பொருட்பால்,2.3 அங்கவியல்,2.3.2 அரண்,"மணிநீரும் மண்ணும் மலையும் அணிநிழற்
காடும் உடைய தரண்."
743,2. பொருட்பால்,2.3 அங்கவியல்,2.3.2 அரண்,"உயர்வகலம் திண்மை அருமைஇந் நான்கின்
அமைவரண் என்றுரைக்கும் நூல்."
744,2. பொருட்பால்,2.3 அங்கவியல்,2.3.2 அரண்,"சிறுகாப்பிற் பேரிடத்த தாகி உறுபகை
ஊக்கம் அழிப்ப தரண்."
745,2. பொருட்பால்,2.3 அங்கவியல்,2.3.2 அரண்,"கொளற்கரிதாய்க் கொண்டகூழ்த் தாகி அகத்தார்
நிலைக்கெளிதாம் நீரது அரண்."
746,2. பொருட்பால்,2.3 அங்கவியல்,2.3.2 அரண்,"எல்லாப் பொருளும் உடைத்தாய் இடத்துதவும்
நல்லாள் உடையது அரண்."
747,2. பொருட்பால்,2.3 அங்கவியல்,2.3.2 அரண்,"முற்றியும் முற்றா தெறிந்தும் அறைப்படுத்தும்
பற்றற் கரியது அரண்."
748,2. பொருட்பால்,2.3 அங்கவியல்,2.3.2 அரண்,"முற்றாற்றி முற்றி யவரையும் பற்றாற்றிப்
பற்றியார் வெல்வது அரண்."
749,2. பொருட்பால்,2.3 அங்கவியல்,2.3.2 அரண்,"முனைமுகத்து மாற்றலர் சாய வினைமுகத்து
வீறெய்தி மாண்ட தரண்."
750,2. பொருட்பால்,2.3 அங்கவியல்,2.3.2 அரண்,"எனைமாட்சித் தாகியக் கண்ணும் வினைமாட்சி
இல்லார்கண் இல்லது அரண்."
751,2. பொருட்பால்,2.3 அங்கவியல்,2.3.3 பொருள்செயல்வகை,"பொருளல் லவரைப் பொருளாகச் செய்யும்
பொருளல்லது இல்லை பொருள்."
752,2. பொருட்பால்,2.3 அங்கவியல்,2.3.3 பொருள்செயல்வகை,"இல்லாரை எல்லாரும் எள்ளுவர் செல்வரை
எல்லாரும் செய்வர் சிறப்பு."
752,2. பொருட்பால்,2.3 அங்கவியல்,2.3.3 பொருள்செயல்வகை,"பொருளென்னும் பொய்யா விளக்கம் இருளறுக்கும்
எண்ணிய தேயத்துச் சென்று."
754,2. பொருட்பால்,2.3 அங்கவியல்,2.3.3 பொருள்செயல்வகை,"அறன்ஈனும் இன்பமும் ஈனும் திறனறிந்து
தீதின்றி வந்த பொருள்."
755,2. பொருட்பால்,2.3 அங்கவியல்,2.3.3 பொருள்செயல்வகை,"அருளொடும் அன்பொடும் வாராப் பொருளாக்கம்
புல்லார் புரள விடல்."
756,2. பொருட்பால்,2.3 அங்கவியல்,2.3.3 பொருள்செயல்வகை,"உறுபொருளும் உல்கு பொருளும்தன் ஒன்னார்த்
தெறுபொருளும் வேந்தன் பொருள்."
757,2. பொருட்பால்,2.3 அங்கவியல்,2.3.3 பொருள்செயல்வகை,"அருளென்னும் அன்பீன் குழவி பொருளென்னும்
செல்வச் செவிலியால் உண்டு."
758,2. பொருட்பால்,2.3 அங்கவியல்,2.3.3 பொருள்செயல்வகை,"குன்றேறி யானைப் போர் கண்டற்றால் தன்கைத்தொன்று
உண்டாகச் செய்வான் வினை."
759,2. பொருட்பால்,2.3 அங்கவியல்,2.3.3 பொருள்செயல்வகை,"செய்க பொருளைச் செறுநர் செருக்கறுக்கும்
எஃகதனிற் கூரிய தில்."
760,2. பொருட்பால்,2.3 அங்கவியல்,2.3.3 பொருள்செயல்வகை,"ஒண்பொருள் காழ்ப்ப இயற்றியார்க்கு எண்பொருள்
ஏனை இரண்டும் ஒருங்கு."
761,2. பொருட்பால்,2.3 அங்கவியல்,2.3.4 படைமாட்சி,"உறுப்பமைந்து ஊறஞ்சா வெல்படை வேந்தன்
வெறுக்கையுள் எல்லாம் தலை."
762,2. பொருட்பால்,2.3 அங்கவியல்,2.3.4 படைமாட்சி,"உலைவிடத்து ஊறஞ்சா வன்கண் தொலைவிடத்துத்
தொல்படைக் கல்லால் அரிது."
763,2. பொருட்பால்,2.3 அங்கவியல்,2.3.4 படைமாட்சி,"ஒலித்தக்கால் என்னாம் உவரி எலிப்பகை
நாகம் உயிர்ப்பக் கெடும்."
764,2. பொருட்பால்,2.3 அங்கவியல்,2.3.4 படைமாட்சி,"அழிவின்றி அறைபோகா தாகி வழிவந்த
வன்க ணதுவே படை."
765,2. பொருட்பால்,2.3 அங்கவியல்,2.3.4 படைமாட்சி,"கூற்றுடன்று மேல்வரினும் கூடி எதிர்நிற்கும்
ஆற்ற லதுவே படை."
766,2. பொருட்பால்,2.3 அங்கவியல்,2.3.4 படைமாட்சி,"மறமானம் மாண்ட வழிச்செலவு தேற்றம்
எனநான்கே ஏமம் படைக்கு."
767,2. பொருட்பால்,2.3 அங்கவியல்,2.3.4 படைமாட்சி,"தார்தாங்கிச் செல்வது தானை தலைவந்த
போர்தாங்கும் தன்மை அறிந்து."
768,2. பொருட்பால்,2.3 அங்கவியல்,2.3.4 படைமாட்சி,"அடல்தகையும் ஆற்றலும் இல்லெனினும் தானை
படைத்தகையால் பாடு பெறும்."
769,2. பொருட்பால்,2.3 அங்கவியல்,2.3.4 படைமாட்சி,"சிறுமையும் செல்லாத் துனியும் வறுமையும்
இல்லாயின் வெல்லும் படை."
770,2. பொருட்பால்,2.3 அங்கவியல்,2.3.4 படைமாட்சி,"நிலைமக்கள் சால உடைத்தெனினும் தானை
தலைமக்கள் இல்வழி இல்."
771,2. பொருட்பால்,2.3 அங்கவியல்,2.3.5 படைச்செருக்கு,"என்னைமுன் நில்லன்மின் தெவ்விர் பலரென்னை
முன்நின்று கல்நின் றவர்."
772,2. பொருட்பால்,2.3 அங்கவியல்,2.3.5 படைச்செருக்கு,"கான முயலெய்த அம்பினில் யானை
பிழைத்தவேல் ஏந்தல் இனிது."
773,2. பொருட்பால்,2.3 அங்கவியல்,2.3.5 படைச்செருக்கு,"பேராண்மை என்ப தறுகண்ஒன் றுற்றக்கால்
ஊராண்மை மற்றதன் எஃகு."
774,2. பொருட்பால்,2.3 அங்கவியல்,2.3.5 படைச்செருக்கு,"கைவேல் களிற்றொடு போக்கி வருபவன்
மெய்வேல் பறியா நகும்."
775,2. பொருட்பால்,2.3 அங்கவியல்,2.3.5 படைச்செருக்கு,"விழித்தகண் வேல்கொண டெறிய அழித்திமைப்பின்
ஒட்டன்றோ வன்க ணவர்க்கு."
776,2. பொருட்பால்,2.3 அங்கவியல்,2.3.5 படைச்செருக்கு,"விழுப்புண் படாதநாள் எல்லாம் வழுக்கினுள்
வைக்கும்தன் நாளை எடுத்து."
777,2. பொருட்பால்,2.3 அங்கவியல்,2.3.5 படைச்செருக்கு,"சுழலும் இசைவேண்டி வேண்டா உயிரார்
கழல்யாப்புக் காரிகை நீர்த்து."
778,2. பொருட்பால்,2.3 அங்கவியல்,2.3.5 படைச்செருக்கு,"உறின்உயிர் அஞ்சா மறவர் இறைவன்
செறினும் சீர்குன்றல் இலர்."
779,2. பொருட்பால்,2.3 அங்கவியல்,2.3.5 படைச்செருக்கு,"இழைத்தது இகவாமைச் சாவாரை யாரே
பிழைத்தது ஒறுக்கிற் பவர்."
780,2. பொருட்பால்,2.3 அங்கவியல்,2.3.5 படைச்செருக்கு,"புரந்தார்கண் நீர்மல்கச் சாகிற்பின் சாக்காடு
இரந்துகோள் தக்கது உடைத்து."
7811,2. பொருட்பால்,2.3 அங்கவியல்,"2,3.6 நட்பு","செயற்கரிய யாவுள நட்பின் அதுபோல்
வினைக்கரிய யாவுள காப்பு."
782,2. பொருட்பால்,2.3 அங்கவியல்,"2,3.6 நட்பு","நிறைநீர நீரவர் கேண்மை பிறைமதிப்
பின்னீர பேதையார் நட்பு."
783,2. பொருட்பால்,2.3 அங்கவியல்,"2,3.6 நட்பு","நவில்தொறும் நூல்நயம் போலும் பயில்தொறும்
பண்புடை யாளர் தொடர்பு."
784,2. பொருட்பால்,2.3 அங்கவியல்,"2,3.6 நட்பு","நகுதற் பொருட்டன்று நட்டல் மிகுதிக்கண்
மேற்செனறு இடித்தற் பொருட்டு."
785,2. பொருட்பால்,2.3 அங்கவியல்,"2,3.6 நட்பு","புணர்ச்சி பழகுதல் வேண்டா உணர்ச்சிதான்
நட்பாங் கிழமை தரும்."
786,2. பொருட்பால்,2.3 அங்கவியல்,"2,3.6 நட்பு","முகநக நட்பது நட்பன்று நெஞ்சத்து
அகநக நட்பது நட்பு."
787,2. பொருட்பால்,2.3 அங்கவியல்,"2,3.6 நட்பு","அழிவி னவைநீக்கி ஆறுய்த்து அழிவின்கண்
அல்லல் உழப்பதாம் நட்பு."
788,2. பொருட்பால்,2.3 அங்கவியல்,"2,3.6 நட்பு","உடுக்கை இழந்தவன் கைபோல ஆங்கே
இடுக்கண் களைவதாம் நட்பு."
789,2. பொருட்பால்,2.3 அங்கவியல்,"2,3.6 நட்பு","நட்பிற்கு வீற்றிருக்கை யாதெனின் கொட்பின்றி
ஒல்லும்வாய் ஊன்றும் நிலை."
790,2. பொருட்பால்,2.3 அங்கவியல்,"2,3.6 நட்பு","இனையர் இவரெமக்கு இன்னம்யாம் என்று
புனையினும் புல்லென்னும் நட்பு."
791,2. பொருட்பால்,2.3 அங்கவியல்,2.3.7 நட்பாராய்தல்,"நாடாது நட் டலிற் கேடில்லை நட்டபின்
வீடில்லை நட்பாள் பவர்க்கு."
792,2. பொருட்பால்,2.3 அங்கவியல்,2.3.7 நட்பாராய்தல்,"ஆய்ந்தாய்ந்து கொள்ளாதான் கேண்மை கடைமுறை
தான்சாம் துயரம் தரும்."
793,2. பொருட்பால்,2.3 அங்கவியல்,2.3.7 நட்பாராய்தல்,"குணமும் குடிமையும் குற்றமும் குன்றா
இனனும் அறிந்தியாக்க நட்பு."
794,2. பொருட்பால்,2.3 அங்கவியல்,2.3.7 நட்பாராய்தல்,"குடிப்பிறந்து தன்கண் பழிநாணு வானைக்
கொடுத்தும் கொளல்வேண்டும் நட்பு."
795,2. பொருட்பால்,2.3 அங்கவியல்,2.3.7 நட்பாராய்தல்,"அழச்சொல்லி அல்லது இடித்து வழக்கறிய
வல்லார்நடபு ஆய்ந்து கொளல்."
796,2. பொருட்பால்,2.3 அங்கவியல்,2.3.7 நட்பாராய்தல்,"கேட்டினும் உண்டோர் உறுதி கிளைஞரை
நீட்டி அளப்பதோர் கோல்."
797,2. பொருட்பால்,2.3 அங்கவியல்,2.3.7 நட்பாராய்தல்,"ஊதியம் என்பது ஒருவற்குப் பேதையார்
கேண்மை ஒரீஇ விடல்."
798,2. பொருட்பால்,2.3 அங்கவியல்,2.3.7 நட்பாராய்தல்,"உள்ளற்க உள்ளம் சிறுகுவ கொள்ளற்க
அல்லற்கண் ஆற்றறுப்பார் நட்பு."
799,2. பொருட்பால்,2.3 அங்கவியல்,2.3.7 நட்பாராய்தல்,"கெடுங்காலைக் கைவிடுவார் கேண்மை அடுங்காலை
உள்ளினும் உள்ளஞ் சுடும்."
800,2. பொருட்பால்,2.3 அங்கவியல்,2.3.7 நட்பாராய்தல்,"மருவுக மாசற்றார் கேண்மைஒன் றீத்தும்
ஒருவுக ஒப்பிலார் நட்பு."
801,2. பொருட்பால்,2.3 அங்கவியல்,2.3.8 பழைமை,"பழைமை எனப்படுவது யாதெனின் யாதும்
கிழமையைக் கீழ்ந்திடா நட்பு."
802,2. பொருட்பால்,2.3 அங்கவியல்,2.3.8 பழைமை,"நட்பிற் குறுப்புக் கெழுதகைமை மற்றதற்கு
உப்பாதல் சான்றோர் கடன்."
803,2. பொருட்பால்,2.3 அங்கவியல்,2.3.8 பழைமை,"பழகிய நட்பெவன் செய்யுங் கெழுதகைமை
செய்தாங்கு அமையாக் கடை."
804,2. பொருட்பால்,2.3 அங்கவியல்,2.3.8 பழைமை,"விழைதகையான் வேண்டி இருப்பர் கெழுதகையாற்
கேளாது நட்டார் செயின்."
805,2. பொருட்பால்,2.3 அங்கவியல்,2.3.8 பழைமை,"பேதைமை ஒன்றோ பெருங்கிழமை என்றுணர்க
நோதக்க நட்டார் செயின்."
806,2. பொருட்பால்,2.3 அங்கவியல்,2.3.8 பழைமை,"எல்லைக்கண் நின்றார் துறவார் தொலைவிடத்தும்
தொல்லைக்கண் நின்றார் தொடர்பு."
807,2. பொருட்பால்,2.3 அங்கவியல்,2.3.8 பழைமை,"அழிவந்த செய்யினும் அன்பறார் அன்பின்
வழிவந்த கேண்மை யவர்."
808,2. பொருட்பால்,2.3 அங்கவியல்,2.3.8 பழைமை,"கேளிழுக்கம் கேளாக் கெழுதகைமை வல்லார்க்கு
நாளிழுக்கம் நட்டார் செயின்."
809,2. பொருட்பால்,2.3 அங்கவியல்,2.3.8 பழைமை,"கெடாஅ வழிவந்த கேண்மையார் கேண்மை
விடாஅர் விழையும் உலகு."
810,2. பொருட்பால்,2.3 அங்கவியல்,2.3.8 பழைமை,"விழையார் விழையப் படுப பழையார்கண்
பண்பின் தலைப்பிரியா தார்."
811,2. பொருட்பால்,2.3 அங்கவியல்,2.3.9 தீ நட்பு,"பருகுவார் போலினும் பண்பிலார் கேண்மை
பெருகலிற் குன்றல் இனிது."
812,2. பொருட்பால்,2.3 அங்கவியல்,2.3.9 தீ நட்பு,"உறின்நட்டு அறின்ஙருஉம் ஒப்பிலார் கேண்மை
பெறினும் இழப்பினும் என்?"
813,2. பொருட்பால்,2.3 அங்கவியல்,2.3.9 தீ நட்பு,"உறுவது சீர்தூக்கும் நட்பும் பெறுவது
கொள்வாரும் கள்வரும் நேர்."
814,2. பொருட்பால்,2.3 அங்கவியல்,2.3.9 தீ நட்பு,"அமரகத்து ஆற்றறுக்கும் கல்லாமா அன்னார்
தமரின் தனிமை தலை."
815,2. பொருட்பால்,2.3 அங்கவியல்,2.3.9 தீ நட்பு,"செய்தேமஞ் சாராச் சிறியவர் புன்கேண்மை
எய்தலின் எய்தாமை நன்று."
816,2. பொருட்பால்,2.3 அங்கவியல்,2.3.9 தீ நட்பு,"பேதை பெருங்கெழீஇ நட்பின் அறிவுடையார்
ஏதின்மை கோடி உறும்."
817,2. பொருட்பால்,2.3 அங்கவியல்,2.3.9 தீ நட்பு,"நகைவகைய ராகிய நட்பின் பகைவரால்
பத்தடுத்த கோடி உறும்."
818,2. பொருட்பால்,2.3 அங்கவியல்,2.3.9 தீ நட்பு,"ஒல்லும் கருமம் உடற்று பவர்கேண்மை
சொல்லாடார் சோர விடல்."
819,2. பொருட்பால்,2.3 அங்கவியல்,2.3.9 தீ நட்பு,"கனவினும் இன்னாது மன்னோ வினைவேறு
சொல்வேறு பட்டார் தொடர்பு."
820,2. பொருட்பால்,2.3 அங்கவியல்,2.3.9 தீ நட்பு,"எனைத்தும் குறுகுதல் ஓம்பல் மனைக்கெழீஇ
மன்றில் பழிப்பார் தொடர்பு."
821,2. பொருட்பால்,2.3 அங்கவியல்,2.3.10 கூடாநட்பு,"சீரிடம் காணின் எறிதற்குப் பட் டடை
நேரா நிரந்தவர் நட்பு."
822,2. பொருட்பால்,2.3 அங்கவியல்,2.3.10 கூடாநட்பு,"இனம்போன்று இனமல்லார் கேண்மை மகளிர்
மனம்போல வேறு படும்."
823,2. பொருட்பால்,2.3 அங்கவியல்,2.3.10 கூடாநட்பு,"பலநல்ல கற்றக் கடைத்து மனநல்லர்
ஆகுதல் மாணார்க் கரிது."
824,2. பொருட்பால்,2.3 அங்கவியல்,2.3.10 கூடாநட்பு,"முகத்தின் இனிய நகாஅ அகத்தின்னா
வஞ்சரை அஞ்சப் படும்."
825,2. பொருட்பால்,2.3 அங்கவியல்,2.3.10 கூடாநட்பு,"மனத்தின் அமையா தவரை எனைத்தொன்றும்
சொல்லினால் தேறற்பாற்று அன்று."
826,2. பொருட்பால்,2.3 அங்கவியல்,2.3.10 கூடாநட்பு,"நட்டார்போல் நல்லவை சொல்லினும் ஒட்டார்சொல்
ஒல்லை உணரப் படும்."
827,2. பொருட்பால்,2.3 அங்கவியல்,2.3.10 கூடாநட்பு,"சொல்வணக்கம் ஒன்னார்கண் கொள்ளற்க வில்வணக்கம்
தீங்கு குறித்தமை யான்."
828,2. பொருட்பால்,2.3 அங்கவியல்,2.3.10 கூடாநட்பு,"தொழுதகை யுள்ளும் படையொடுங்கும் ஒன்னார்
அழுதகண் ணீரும் அனைத்து."
829,2. பொருட்பால்,2.3 அங்கவியல்,2.3.10 கூடாநட்பு,"மிகச்செய்து தம்மெள்ளு வாரை நகச்செய்து
நட்பினுள் சாப்புல்லற் பாற்று."
830,2. பொருட்பால்,2.3 அங்கவியல்,2.3.10 கூடாநட்பு,"பகைநட்பாம் காலம் வருங்கால் முகநட்டு
அகநட்பு ஒரீஇ விடல்."
831,2. பொருட்பால்,2.3 அங்கவியல்,2.3.11 பேதைமை,"பேதைமை என்பதொன்று யாதெனின் ஏதங்கொண்டு
ஊதியம் போக விடல்."
832,2. பொருட்பால்,2.3 அங்கவியல்,2.3.11 பேதைமை,"பேதைமையுள் எல்லாம் பேதைமை காதன்மை
கையல்ல தன்கட் செயல்."
833,2. பொருட்பால்,2.3 அங்கவியல்,2.3.11 பேதைமை,"நாணாமை நாடாமை நாரின்மை யாதொன்றும்
பேணாமை பேதை தொழில்"
834,2. பொருட்பால்,2.3 அங்கவியல்,2.3.11 பேதைமை,"ஓதி உணர்ந்தும் பிறர் க்குரைத்தும் தானடங்காப்
பேதையின் பேதையார் இல்."
835,2. பொருட்பால்,2.3 அங்கவியல்,2.3.11 பேதைமை,"ஒருமைச் செயலாற்றும் பேதை எழுமையும்
தான்புக் கழுந்தும் அளறு."
836,2. பொருட்பால்,2.3 அங்கவியல்,2.3.11 பேதைமை,"பொய்படும் ஒன்றோ புனைபூணும் கையறியாப்
பேதை வினைமேற் கொளின்."
837,2. பொருட்பால்,2.3 அங்கவியல்,2.3.11 பேதைமை,"ஏதிலார் ஆரத் தமர்பசிப்பர் பேதை
பெருஞ்செல்வம் உற்றக் கடை."
838,2. பொருட்பால்,2.3 அங்கவியல்,2.3.11 பேதைமை,"மையல் ஒருவன் களித்தற்றால் பேதைதன்
கையொன்று உடைமை பெறின்."
839,2. பொருட்பால்,2.3 அங்கவியல்,2.3.11 பேதைமை,"பெரிதினிது பேதையார் கேண்மை பிரிவின்கண்
பீழை தருவதொன் றில்."
840,2. பொருட்பால்,2.3 அங்கவியல்,2.3.11 பேதைமை,"கழாஅக்கால் பள்ளியுள் வைத்தற்றால் சான்றோர்
குழாஅத்துப் பேதை புகல்."
841,2. பொருட்பால்,2.3 அங்கவியல்,2.3.12 புல்லறிவாண்மை,"அறிவின்மை இன்மையுள் இன்மை பிறிதின்மை
இன்மையா வையா துலகு."
842,2. பொருட்பால்,2.3 அங்கவியல்,2.3.12 புல்லறிவாண்மை,"அறிவிலான் நெஞ்சுவந்து ஈதல் பிறிதியாதும்
இல்லை பெறுவான் தவம்."
843,2. பொருட்பால்,2.3 அங்கவியல்,2.3.12 புல்லறிவாண்மை,"அறிவிலார் தாந்தம்மைப் பீழிக்கும் பீழை
செறுவார்க்கும் செய்தல் அரிது."
844,2. பொருட்பால்,2.3 அங்கவியல்,2.3.12 புல்லறிவாண்மை,"வெண்மை எனப்படுவ தியாதெனின் ஒண்மை
உடையம்யாம் என்னும் செருக்கு."
845,2. பொருட்பால்,2.3 அங்கவியல்,2.3.12 புல்லறிவாண்மை,"கல்லாத மேற்கொண் டொழுகல் கசடற
வல்லதூஉம் ஐயம் தரும்."
846,2. பொருட்பால்,2.3 அங்கவியல்,2.3.12 புல்லறிவாண்மை,"அற்றம் மறைத்தலோ புல்லறிவு தம்வயின்
குற்றம் மறையா வழி."
847,2. பொருட்பால்,2.3 அங்கவியல்,2.3.12 புல்லறிவாண்மை,"அருமறை சோரும் அறிவிலான் செய்யும்
பெருமிறை தானே தனக்கு."
848,2. பொருட்பால்,2.3 அங்கவியல்,2.3.12 புல்லறிவாண்மை,"ஏவவும் செய்கலான் தான்தேறான் அவ்வுயிர்
போஒம் அளவுமோர் நோய்."
849,2. பொருட்பால்,2.3 அங்கவியல்,2.3.12 புல்லறிவாண்மை,"காணாதான் காட்டுவான் தான்காணான் காணாதான்
கண்டானாம் தான்கண்ட வாறு."
850,2. பொருட்பால்,2.3 அங்கவியல்,2.3.12 புல்லறிவாண்மை,"உலகத்தார் உண்டென்பது இல்லென்பான் வையத்து
அலகையா வைக்கப் படும்."
851,2. பொருட்பால்,2.3 அங்கவியல்,2.3.13 இகல்,"இகலென்ப எல்லா உயிர்க்கும் பகலென்னும்
பண்பின்மை பாரிக்கும் நோய்."
852,2. பொருட்பால்,2.3 அங்கவியல்,2.3.13 இகல்,"பகல்கருதிப் பற்றா செயினும் இகல்கருதி
இன்னாசெய் யாமை தலை."
853,2. பொருட்பால்,2.3 அங்கவியல்,2.3.13 இகல்,"இகலென்னும் எவ்வநோய் நீக்கின் தவலில்லாத்
தாவில் விளக்கம் தரும்."
854,2. பொருட்பால்,2.3 அங்கவியல்,2.3.13 இகல்,"இன்பத்துள் இன்பம் பயக்கும் இகலென்னும்
துன்பத்துள் துன்பங் கெடின்."
855,2. பொருட்பால்,2.3 அங்கவியல்,2.3.13 இகல்,"இகலெதிர் சாய்ந்தொழுக வல்லாரை யாரே
மிக்லூக்கும் தன்மை யவர்."
856,2. பொருட்பால்,2.3 அங்கவியல்,2.3.13 இகல்,"இகலின் மிகலினிது என்பவன் வாழ்க்கை
தவலும் கெடலும் நணித்து."
857,2. பொருட்பால்,2.3 அங்கவியல்,2.3.13 இகல்,"மிகல்மேவல் மெய்ப்பொருள் காணார் இகல்மேவல்
இன்னா அறிவி னவர்."
858,2. பொருட்பால்,2.3 அங்கவியல்,2.3.13 இகல்,"இகலிற்கு எதிர்சாய்தல் ஆக்கம் அதனை
மிக்லூக்கின் ஊக்குமாம் கேடு."
859,2. பொருட்பால்,2.3 அங்கவியல்,2.3.13 இகல்,"இகல்காணான் ஆக்கம் வருங்கால் அதனை
மிகல்காணும் கேடு தரற்கு."
860,2. பொருட்பால்,2.3 அங்கவியல்,2.3.13 இகல்,"இகலானாம் இன்னாத எல்லாம் நகலானாம்
நன்னயம் என்னும் செருக்கு."
861,2. பொருட்பால்,2.3 அங்கவியல்,2.3.14 பகைமாட்சி,"வலியார்க்கு மாறேற்றல் ஓம்புக ஓம்பா
மெலியார்மேல் மேக பகை."
862,2. பொருட்பால்,2.3 அங்கவியல்,2.3.14 பகைமாட்சி,"அன்பிலன் ஆன்ற துணையிலன் தான்துவ்வான்
என்பரியும் ஏதிலான் துப்பு."
863,2. பொருட்பால்,2.3 அங்கவியல்,2.3.14 பகைமாட்சி,"அஞ்சும் அறியான் அமைவிலன் ஈகலான்
தஞ்சம் எளியன் பகைக்கு."
864,2. பொருட்பால்,2.3 அங்கவியல்,2.3.14 பகைமாட்சி,"நீங்கான் வெகுளி நிறையிலன் எஞ்ஞான்றும்
யாங்கணும் யார்க்கும் எளிது."
865,2. பொருட்பால்,2.3 அங்கவியல்,2.3.14 பகைமாட்சி,"வழிநோக்கான் வாய்ப்பன செய்யான் பழிநோக்கான்
பண்பிலன் பற்றார்க்கு இனிது."
866,2. பொருட்பால்,2.3 அங்கவியல்,2.3.14 பகைமாட்சி,"காணாச் சினத்தான் கழிபெருங் காமத்தான்
பேணாமை பேணப் படும்."
